iter	Passed	Remaining
0	8	178744
1	44	448768
2	88	587304
3	133	668487
4	166	666638
5	180	601281
6	226	647436
7	268	671987
8	297	660315
9	337	674537
10	359	653804
11	399	664770
12	438	673705
13	479	684283
14	522	696374
15	561	701752
16	603	709707
17	643	714678
18	684	720280
19	728	727680
20	769	732494
21	812	737682
22	853	741518
23	885	737023
24	930	743325
25	971	746046
26	991	733748
27	1034	738192
28	1053	725814
29	1093	727688
30	1138	733460
31	1159	723815
32	1191	720648
33	1236	726213
34	1277	728465
35	1303	722621
36	1344	725321
